palletIdNo,location,palletNo,palletId,status,partNo1,qty1,partNo2,qty2,partNo3,qty3,partNo4,qty4,partNo5,qty5
,G17,,,EMPTY,,,,,,,,,,
,G18,,,EMPTY,,,,,,,,,,
,G19,,,EMPTY,,,,,,,,,,
,G20,,,EMPTY,,,,,,,,,,
,G21,,,EMPTY,,,,,,,,,,
,G22,,,EMPTY,,,,,,,,,,
,G23,,,EMPTY,,,,,,,,,,
,G24,,,EMPTY,,,,,,,,,,
,G25,,,EMPTY,,,,,,,,,,
,G26,,,EMPTY,,,,,,,,,,
,G27,,,EMPTY,,,,,,,,,,
,G28,,,EMPTY,,,,,,,,,,
,G29,,,EMPTY,,,,,,,,,,
,G30,,,EMPTY,,,,,,,,,,
,G31,,,EMPTY,,,,,,,,,,
,G32,,,EMPTY,,,,,,,,,,
,G33,,,EMPTY,,,,,,,,,,
,G34,,,EMPTY,,,,,,,,,,
,G35,,,EMPTY,,,,,,,,,,
,G36,,,EMPTY,,,,,,,,,,
,G37,,,EMPTY,,,,,,,,,,
,G38,,,EMPTY,,,,,,,,,,
,G39,,,EMPTY,,,,,,,,,,
,G40,,,EMPTY,,,,,,,,,,
,H03,,,EMPTY,,,,,,,,,,
,H04,,,EMPTY,,,,,,,,,,
,H05,,,EMPTY,,,,,,,,,,
,H06,,,EMPTY,,,,,,,,,,
,H08,,,EMPTY,,,,,,,,,,
,H09,,,EMPTY,,,,,,,,,,
,H10,,,EMPTY,,,,,,,,,,
,H11,,,EMPTY,,,,,,,,,,
,H13,,,EMPTY,,,,,,,,,,
,H14,,,EMPTY,,,,,,,,,,
,H15,,,EMPTY,,,,,,,,,,
,H16,,,EMPTY,,,,,,,,,,
,H18,,,EMPTY,,,,,,,,,,
,H19,,,EMPTY,,,,,,,,,,
,H20,,,EMPTY,,,,,,,,,,
,H21,,,EMPTY,,,,,,,,,,
,H23,,,EMPTY,,,,,,,,,,
,H24,,,EMPTY,,,,,,,,,,
,H25,,,EMPTY,,,,,,,,,,
,H26,,,EMPTY,,,,,,,,,,
,H28,,,EMPTY,,,,,,,,,,
,H29,,,EMPTY,,,,,,,,,,
,H30,,,EMPTY,,,,,,,,,,
,H31,,,EMPTY,,,,,,,,,,
,H33,,,EMPTY,,,,,,,,,,
,H34,,,EMPTY,,,,,,,,,,
,H35,,,EMPTY,,,,,,,,,,
,H36,,,EMPTY,,,,,,,,,,
,H38,,,EMPTY,,,,,,,,,,
,H39,,,EMPTY,,,,,,,,,,
,H40,,,EMPTY,,,,,,,,,,
,I02,,,EMPTY,,,,,,,,,,
,I03,,,EMPTY,,,,,,,,,,
,I04,,,EMPTY,,,,,,,,,,
,I05,,,EMPTY,,,,,,,,,,
,I06,,,EMPTY,,,,,,,,,,
,I07,,,EMPTY,,,,,,,,,,
,I08,,,EMPTY,,,,,,,,,,
,I09,,,EMPTY,,,,,,,,,,
,I10,,,EMPTY,,,,,,,,,,
,I11,,,EMPTY,,,,,,,,,,
,I12,,,EMPTY,,,,,,,,,,
,I13,,,EMPTY,,,,,,,,,,
,I14,,,EMPTY,,,,,,,,,,
,I15,,,EMPTY,,,,,,,,,,
,I16,,,EMPTY,,,,,,,,,,
,I17,,,EMPTY,,,,,,,,,,
,I18,,,EMPTY,,,,,,,,,,
,I19,,,EMPTY,,,,,,,,,,
,I20,,,EMPTY,,,,,,,,,,
,I21,,,EMPTY,,,,,,,,,,
,I22,,,EMPTY,,,,,,,,,,
,I23,,,EMPTY,,,,,,,,,,
,I24,,,EMPTY,,,,,,,,,,
,I25,,,EMPTY,,,,,,,,,,
,I26,,,EMPTY,,,,,,,,,,
,I27,,,EMPTY,,,,,,,,,,
,I28,,,EMPTY,,,,,,,,,,
,I29,,,EMPTY,,,,,,,,,,
,I30,,,EMPTY,,,,,,,,,,
,I31,,,EMPTY,,,,,,,,,,
,I32,,,EMPTY,,,,,,,,,,
,I33,,,EMPTY,,,,,,,,,,
,I34,,,EMPTY,,,,,,,,,,
,I35,,,EMPTY,,,,,,,,,,
,I36,,,EMPTY,,,,,,,,,,
,I37,,,EMPTY,,,,,,,,,,
,I38,,,EMPTY,,,,,,,,,,
,I39,,,EMPTY,,,,,,,,,,
,I40,,,EMPTY,,,,,,,,,,
,J02,,,EMPTY,,,,,,,,,,
,J03,,,EMPTY,,,,,,,,,,
,J04,,,EMPTY,,,,,,,,,,
,J05,,,EMPTY,,,,,,,,,,
,J06,,,EMPTY,,,,,,,,,,
,J07,,,EMPTY,,,,,,,,,,
,J08,,,EMPTY,,,,,,,,,,
,J09,,,EMPTY,,,,,,,,,,
,J10,,,EMPTY,,,,,,,,,,
,J11,,,EMPTY,,,,,,,,,,
,J12,,,EMPTY,,,,,,,,,,
,J13,,,EMPTY,,,,,,,,,,
,J14,,,EMPTY,,,,,,,,,,
,J15,,,EMPTY,,,,,,,,,,
,J16,,,EMPTY,,,,,,,,,,
,J17,,,EMPTY,,,,,,,,,,
,J18,,,EMPTY,,,,,,,,,,
,J19,,,EMPTY,,,,,,,,,,
,J20,,,EMPTY,,,,,,,,,,
,J21,,,EMPTY,,,,,,,,,,
,J22,,,EMPTY,,,,,,,,,,
,J23,,,EMPTY,,,,,,,,,,
,J24,,,EMPTY,,,,,,,,,,
,J25,,,EMPTY,,,,,,,,,,
,J26,,,EMPTY,,,,,,,,,,
,J27,,,EMPTY,,,,,,,,,,
,J28,,,EMPTY,,,,,,,,,,
,J29,,,EMPTY,,,,,,,,,,
,J30,,,EMPTY,,,,,,,,,,
,J31,,,EMPTY,,,,,,,,,,
,J32,,,EMPTY,,,,,,,,,,
,J33,,,EMPTY,,,,,,,,,,
,J34,,,EMPTY,,,,,,,,,,
,J35,,,EMPTY,,,,,,,,,,
,J36,,,EMPTY,,,,,,,,,,
,J37,,,EMPTY,,,,,,,,,,
,J38,,,EMPTY,,,,,,,,,,
,J39,,,EMPTY,,,,,,,,,,
,J40,,,EMPTY,,,,,,,,,,
,K02,,,EMPTY,,,,,,,,,,
,K03,,,EMPTY,,,,,,,,,,
,K04,,,EMPTY,,,,,,,,,,
,K05,,,EMPTY,,,,,,,,,,
,K06,,,EMPTY,,,,,,,,,,
,K07,,,EMPTY,,,,,,,,,,
,K08,,,EMPTY,,,,,,,,,,
,K09,,,EMPTY,,,,,,,,,,
,K10,,,EMPTY,,,,,,,,,,
,K11,,,EMPTY,,,,,,,,,,
,K12,,,EMPTY,,,,,,,,,,
,K13,,,EMPTY,,,,,,,,,,
,K14,,,EMPTY,,,,,,,,,,
,K15,,,EMPTY,,,,,,,,,,
,K16,,,EMPTY,,,,,,,,,,
,K17,,,EMPTY,,,,,,,,,,
,K18,,,EMPTY,,,,,,,,,,
,K19,,,EMPTY,,,,,,,,,,
,K20,,,EMPTY,,,,,,,,,,
,K21,,,EMPTY,,,,,,,,,,
,K22,,,EMPTY,,,,,,,,,,
,K23,,,EMPTY,,,,,,,,,,
,K24,,,EMPTY,,,,,,,,,,
,K25,,,EMPTY,,,,,,,,,,
,K26,,,EMPTY,,,,,,,,,,
,K27,,,EMPTY,,,,,,,,,,
,K28,,,EMPTY,,,,,,,,,,
,K29,,,EMPTY,,,,,,,,,,
,K30,,,EMPTY,,,,,,,,,,
,K31,,,EMPTY,,,,,,,,,,
,K32,,,EMPTY,,,,,,,,,,
,K33,,,EMPTY,,,,,,,,,,
,K34,,,EMPTY,,,,,,,,,,
,K35,,,EMPTY,,,,,,,,,,
,K36,,,EMPTY,,,,,,,,,,
,K37,,,EMPTY,,,,,,,,,,
,K38,,,EMPTY,,,,,,,,,,
,K39,,,EMPTY,,,,,,,,,,
,K40,,,EMPTY,,,,,,,,,,
